Fetching S&P 500 constituent list from Wikipedia...
Fetching market caps for 503 tickers (20 parallel workers)...
  100/503 tickers processed...
  200/503 tickers processed...
  300/503 tickers processed...
  400/503 tickers processed...
  500/503 tickers processed...
Universe cached to /home/runner/work/technical-analysis-stock-scanner/technical-analysis-stock-scanner/data/universe_top100.csv (100 stocks).
Downloading 1-year OHLCV for 102 tickers (universe + SPY + ^VIX)...

==================================================================
  MARKET BREADTH | STRONG BULL (70L / 30S of 100) — broad uptrend, favour longs
  REGIME GATE    | OPEN — LONG entries allowed
                 | SPY 751.99 vs 200DMA 685.71 | VIX 15.9 (limit 30)
  RS FILTER      | top 40% by 3M ∩ 6M return — 32 eligible of 100
==================================================================

── LONG UNIVERSE  (70 stocks — price > SMA200) ──
Ticker   Price   SMA50  SMA200  % vs SMA200  RSI Trend
  SNDK 2028.28 1319.89  582.96        247.9 71.9     ↑
    MU 1045.81  705.44  391.05        167.4 62.6     ↑
   WDC  694.14  463.99  259.54        167.4 74.4     ↑
   STX 1042.14  737.57  412.21        152.8 72.3     ↑
  DELL  410.13  273.02  170.00        141.3 66.8     ↑
  INTC  120.37   98.63   54.50        120.9 57.4     ↑
   AMD  519.66  399.36  257.59        101.7 59.3     ↑
  AMAT  579.12  436.17  312.78         85.2 73.8     ↑
  LRCX  373.97  289.04  205.61         81.9 70.0     ↑
  KLAC  241.97  190.16  142.50         69.8 66.3     ↑
   GLW  179.30  177.90  119.06         50.6 48.8     ↑
   TXN  309.13  276.87  207.43         49.0 57.6     ↑
  CSCO  119.58  102.79   81.37         47.0 56.6     ↑
   CAT  958.16  864.02  663.12         44.5 61.6     ↑
  PANW  278.39  220.03  195.19         42.6 62.4     ↑
  CRWD  680.16  555.21  486.76         39.7 57.4     ↑
   VRT  307.98  319.49  221.89         38.8 47.1     ↑
   ADI  424.17  396.63  307.19         38.1 56.2     ↑
  QCOM  219.43  185.32  164.39         33.5 53.3     ↑
   GEV 1004.23 1014.88  765.67         31.2 53.5     ↑
    MS  220.57  194.69  173.01         27.5 68.5     ↑
     C  142.43  128.42  111.97         27.2 72.5     ↑
   CVS  100.31   87.77   78.99         27.0 68.5     ↑
    GS 1092.22  962.25  865.50         26.2 65.5     ↑
   UNH  409.73  364.35  327.70         25.0 69.7     ↑
 GOOGL  372.62  364.99  309.18         20.5 52.2     ↑
  GOOG  370.42  362.20  308.72         20.0 52.6     ↑
  ANET  168.23  157.42  141.86         18.6 58.6     ↑
   APH  159.51  140.81  135.49         17.7 65.2     ↑
   LLY 1129.20 1003.80  959.74         17.7 61.9     ↑
    GE  351.23  305.36  304.15         15.5 69.3     ↑
   ETN  411.96  403.13  366.31         12.5 54.7     ↑
   PLD  145.71  142.49  129.66         12.4 53.4     ↑
    PM  184.84  172.89  164.45         12.4 59.1     ↑
  AAPL  299.02  286.98  267.12         11.9 52.0     ↑
    DE  586.11  574.34  524.31         11.8 57.2     ↑
   UNP  267.01  262.44  239.43         11.5 50.9     ↑
   LIN  515.54  503.89  464.14         11.1 55.5     ↑
   MRK  114.96  115.15  103.54         11.0 46.8     ↑
  NVDA  209.52  208.05  189.34         10.7 49.0     ↑
    KO   80.18   78.31   72.63         10.4 52.1     ↑
  WELL  213.06  210.33  193.22         10.3 54.3     ↑
   TJX  166.57  157.26  151.17         10.2 65.4     ↑
   JNJ  234.74  229.81  213.07         10.2 55.3     ↑
   BAC   56.78   52.41   51.63         10.0 75.3     ↑
   HON  230.68  221.27  211.21          9.2 57.8     ↑
   JPM  329.68  307.77  304.85          8.1 70.1     ↑
    PH  940.09  906.74  871.36          7.9 64.7     ↑
    CB  327.83  323.83  306.47          7.0 56.4     ↑
    VZ   46.53   47.00   43.51          6.9 46.5     ↑
   COP  110.47  119.39  103.70          6.5 37.8     ↑
  AMGN  347.94  339.04  327.29          6.3 55.6     ↑
   CVX  179.34  186.83  168.91          6.2 39.2     ↑
  AVGO  380.49  409.36  358.12          6.2 41.9     ↑
   XOM  140.76  150.49  132.75          6.0 35.9     ↑
  AMZN  246.22  256.17  232.67          5.8 43.4     ↑
   WMT  120.82  125.27  115.83          4.3 46.9     ↑
    BA  228.12  223.88  218.76          4.3 55.4     ↑
    PG  152.15  144.71  147.40          3.2 64.4     ↓
   PFE   26.00   26.11   25.20          3.1 51.2     ↑
  COST  983.97 1003.04  955.65          3.0 47.1     ↑
   RTX  185.66  181.44  180.90          2.6 59.0     ↑
   NEE   86.43   90.33   84.57          2.2 46.3     ↑
  ABBV  221.71  211.15  217.95          1.7 55.8     ↓
   WFC   84.62   79.51   83.43          1.4 67.8     ↓
   AXP  340.93  317.69  336.09          1.4 69.4     ↓
     V  332.23  319.35  328.27          1.2 59.1     ↓
